Starting at 2021-01-02--15-53-35
 
 
 
Iteration 1   2021-01-02--15-53-35
 
 dataflow_id |                            dataflow_name                             |          operator          | operator_id | scheduled_duration_ns | scheduled_times_count 
         668 | Dataflow: materialize.public.idx_v_user_behavior_buy_item_id         | Arrange-errors             |         707 |                 16384 |                 80359
        1691 | Dataflow: materialize.public.mv_user_funnel_perc_primary_idx         | Arrange: Distinct          |        1746 |                 16384 |                 69447
         712 | Dataflow: materialize.public.idx_v_user_behavior_buy_sub_category_id | Arrange                    |         730 |                 16384 |                 67788
        1691 | Dataflow: materialize.public.mv_user_funnel_perc_primary_idx         | Arrange: ReduceAccumulable |        1799 |                 16384 |                 61413
         739 | Dataflow: materialize.public.mv_buy_activity_time_primary_idx        | Arrange: ReduceAccumulable |        1038 |                 16384 |                 46115
        1359 | Dataflow: materialize.public.mv_buy_top_items_day_primary_idx        | Arrange: ReduceAccumulable |        1658 |                 16384 |                 28753
        1049 | Dataflow: materialize.public.mv_buy_top_categories_day_primary_idx   | Arrange: ReduceAccumulable |        1348 |                 16384 |                 16526
        1691 | Dataflow: materialize.public.mv_user_funnel_perc_primary_idx         | Arrange: ReduceAccumulable |        1761 |                 16384 |                 15583
        1974 | Dataflow: materialize.public.mv_items_inventory_status_primary_idx   | Arrange: ReduceAccumulable |        2023 |                 16384 |                 15225
        1974 | Dataflow: materialize.public.mv_items_inventory_status_primary_idx   | Arrange                    |        2182 |                 16384 |                 14619
        2223 | Dataflow: materialize.public.tab_120c_v_primary_idx                  | Arrange                    |        2262 |                 16384 |                 12630
         739 | Dataflow: materialize.public.mv_buy_activity_time_primary_idx        | Arrange                    |        1044 |                 16384 |                 10084
        1957 | Dataflow: materialize.public.test_primary_idx                        | Arrange                    |        1965 |                 16384 |                  9489
        2223 | Dataflow: materialize.public.tab_120c_v_primary_idx                  | Arrange-errors             |        2266 |                 16384 |                  8875
        1957 | Dataflow: materialize.public.test_primary_idx                        | Arrange-errors             |        1969 |                 16384 |                  7745
        2191 | Dataflow: materialize.public.mv_items_restock_primary_idx            | Arrange                    |        2214 |                 16384 |                  7253
        1691 | Dataflow: materialize.public.mv_user_funnel_perc_primary_idx         | JoinStage: 0               |        1882 |                 16384 |                  7158
